Query	Target	Strand	Q-len	Q-start	Q-stop	T-len	T-start	T-stop
SRR26246282.1589819	PprY_exon3_10jan2025_racon	+	35354	3427	35342	38049	4864	38048
SRR22822929.277518	PprY_exon3_10jan2025_racon	+	12122	33	12082	38049	7290	19341
SRR26246282.503891	PprY_exon3_10jan2025_racon	+	34185	37	32643	38049	7230	38048
SRR26246282.308816	PprY_exon3_10jan2025_racon	-	644	73	644	38049	7264	7841
SRR26246282.13567	PprY_exon3_10jan2025_racon	-	24282	15	24269	38049	2433	27232
SRR26246282.998787	PprY_exon3_10jan2025_racon	-	25044	24	24912	38049	2	25068
SRR26246282.1364601	PprY_exon3_10jan2025_racon	-	25054	35	25021	38049	5750	30777
SRR26246282.1416290	PprY_exon3_10jan2025_racon	-	43828	198	43583	38049	6810	38048
SRR26246282.1452085	PprY_exon3_10jan2025_racon	-	10796	39	10786	38049	5786	16539
SRR26246282.1456379	PprY_exon3_10jan2025_racon	-	30248	22	30105	38049	3474	34158
SRR26246282.1589807	PprY_exon3_10jan2025_racon	-	15931	5	15814	38049	3421	21217
SRR26246282.1615639	PprY_exon3_10jan2025_racon	-	32120	9	30562	38049	2	24152
SRR26246282.1673132	PprY_exon3_10jan2025_racon	-	29964	61	29961	38049	6057	36321
SRR22822929.19709	PprY_exon3_10jan2025_racon	-	16230	37	16176	38049	393	22224
SRR22822930.148478	PprY_exon3_10jan2025_racon	-	22085	34	21602	38049	6810	28452
SRR26246282.512264	PprY_exon3_10jan2025_racon	-	13511	34	13271	38049	7315	20613
SRR26246282.1077839	PprY_exon3_10jan2025_racon	-	3730	44	3715	38049	7315	11028
SRR22822930.1058108	PprY_exon3_10jan2025_racon	-	4214	31	4200	38049	7363	11523
